project	call_graph_source_tool_count	source_node_count	unresolved_reason
0pstech_vuln-fs	3	3	
0xBruno_MCPExec	1	1	
0xDAEF0F_job-searchoor	1	1	
0xGval_twitter-X-mcp-server	1	1	
0xNacho_aws-lakeformation-mcp	8	8	
0xPratikPatil_NmapMCP	15	15	
0xRecruiter_arbitrum_mcp_server	1	1	
0xanpham_my-crypto-mcp	1	1	
0xbeedao_mcp-taskwarrior	4	4	
0xshariq_docker-mcp-server	24	24	
0xshariq_github-mcp-server	33	35	
101ta28_google-calendar-mcp-server	2	2	
111-test-111_math-mcp-server	22	22	
13rac1_videocapture-mcp	7	7	
1595901624_qrcode-mcp	1	1	
199-biotechnologies_limitless-bettermcp	14	14	
199-biotechnologies_mcp-limitless-enhanced	14	14	
1999AZZAR_mcp-server-google-search	10	10	
1999AZZAR_wikipedia-mcp-server	10	10	
1Levick3_postgresql-mcp-server	1	1	
1mcp-app_agent	18	18	
1mcp_agent	18	18	
21520894_MCP-Server	1	2	
21st-dev_magic-mcp	1	1	
2252_supreme-potato	4	4	
29decibel_record-to-markdown	2	2	
2slides_2slides-mcp-server-for-ppt-generation	3	3	
3a3_fujitsu-sdt-mcp	10	10	
3dyuval_mcp-template	2	2	
43EVER_biliscribe	1	1	
4darsh-Dev_Lead-generator-mcp-server	1	1	
4everland_4everland-hosting-mcp	3	3	
54rt1n_container-mcp	29	35	
54yyyu_school-mcp	6	6	
5ajaki_safe-mcp-server	3	3	
5ajaki_veri5ight	5	5	
611711Dark_mcp_calculate_server	1	1	
6digit-studio_mcp	1	1	
7gugu_whistle-mcp	32	32	
7ossamfarid_mcp-mindmesh	4	4	
7shi_mcp-wait	1	1	
8beeeaaat_touchdesigner-mcp	11	11	
8enSmith_mcp-open-library	6	6	
943003797_Mcp_cosyvoice	1	1	
AB498_code-context-provider-mcp	1	1	
AB498_computer-control-mcp	15	15	
AI-Maker-Space_MCP-Event	2	2	
AI-QL_mcp-devcontainers	6	6	
AIAnytime_Awesome-MCP-Server_mcp-wiki	1	1	
AIDC-AI_pixelle-mcp	5	5	
AIMIZING_mcp-naver-weather	1	1	
AIMIZING_mcp_docs_reader	1	1	
AItheLab_mcp-terminal-use	3	3	
ASRagab_mcp-jinaai-reader	2	2	
AVIMBU_plausible-mcp-server	1	1	
AVIMBU_slack-mcp-server	2	2	
AakibAnsarime_whatsapp-mcp-local-ollam	12	12	
AaronGoldsmith_interactive_draw_mcp	4	4	
Aavishkar-Kolte_reaper-daw-mcp-server	15	15	
Aayushchaudry_MCP_gmail	8	9	
AbdelStark_bitcoin-mcp	7	7	
AbdelStark_lightning-mcp	1	1	
AbdelStark_starknet-mcp	1	1	
Abeautifulsnow_TDengine_mcp_server	6	6	
Abhi5h3k_MCP-Email-Verify	1	1	
AbhiJ2706_f1-mcp	7	7	
Abhinavexists_MCP_Server	2	2	
AbnerTeng_shioaji-mcp	4	4	
Ad-Veritas_mcp-server-trueRAG	4	4	
AdI-70_realtime-cryptoprice-MCP	2	2	
AdamikHQ_adamik-mcp-server	12	12	
AdbC99_ai-bible	2	3	
Adfin-Engineering_mcp-server-adfin	7	7	
Adity-star_mcp-yfinance-server	17	17	
AdsPower_local-api-mcp-python	12	12	
AgentDeskAI_browser-tools-mcp	14	14	
AgentOps-AI_agentops-mcp	4	4	
AgentWong_optimized-memory-mcp-serverv2	14	16	
AgentX-ai_apollo-io-mcp-server	7	7	
AgileLuminary_agile-luminary-project-management-mcp	4	4	
AiLMe-AI_apus-medical-mcp-server	2	2	
Aias_barnsworthburning-mcp	1	1	
AiondaDotCom_mcp-salesforce	14	14	
AiondaDotCom_mcp-ssh	7	7	
Aiven-Open_mcp-aiven	3	3	
Akira-Papa_akirapapa-mcp-notion-server	14	14	
